word,part_of_speech,meaning,example
hành lang,danh từ,"lối đi chạy dài trong nhà, trước các dãy phòng: đi dọc theo hành lang * đứng ngoài hành lang nói chuyện",đi dọc theo hành lang * đứng ngoài hành lang nói chuyện
hành lang,danh từ,lối đi có mái che để nối hai ngôi nhà lớn.,hành lang giao thông * hành lang lưới điện
hạnh kiểm,danh từ,"phẩm chất, đạo đức của một người biểu hiện qua việc làm, qua cách đối xử với mọi người: bị xếp loại hạnh kiểm trung bình",bị xếp loại hạnh kiểm trung bình
hạnh nhân,danh từ,"mô bạch huyết ở họng người, tròn và to bằng đầu ngón tay: sưng amygdala * cắt amygdala",sưng amygdala * cắt amygdala
hạnh phúc,danh từ,trạng thái sung sướng vì cảm thấy hoàn toàn đạt được ý nguyện: vì hạnh phúc của trẻ thơ * hưởng hạnh phúc * vẻ mặt tràn trề hạnh phúc,vì hạnh phúc của trẻ thơ * hưởng hạnh phúc * vẻ mặt tràn trề hạnh phúc
hành tinh,danh từ,"thiên thể không tự phát ra ánh sáng, quay xung quanh Mặt Trời hoặc một ngôi sao: Trái Đất là một hành tinh nằm trong Hệ Mặt Trời",Trái Đất là một hành tinh nằm trong Hệ Mặt Trời
hành tung,danh từ,dấu vết về những hành vi của một người nào đó: che giấu hành tung * để lộ hành tung,che giấu hành tung * để lộ hành tung
hào chỉ,danh từ,"(cũ, khẩu ngữ) đồng hào (dùng với hàm ý là ít ỏi): ""Hai người vừa đi đường vừa gắt gỏng nhau về nỗi hiện nay chỉ còn vẻn vẹn có sáu hào chỉ."" (NgCHoan; 4)","""Hai người vừa đi đường vừa gắt gỏng nhau về nỗi hiện nay chỉ còn vẻn vẹn có sáu hào chỉ."" (NgCHoan; 4)"
hảo hán,danh từ,"(Từ cũ) người đàn ông dũng cảm, sẵn sàng ra tay can thiệp bênh vực người yếu trong xã hội cũ: một trang hảo hán",một trang hảo hán
hào khí,danh từ,"(Trang trọng) chí khí mạnh mẽ, hào hùng: hào khí đấu tranh",hào khí đấu tranh
hào kiệt,danh từ,"(cũ, văn chương) người có tài cao, chí lớn, hơn hẳn người thường: ""Chàng tuổi trẻ vốn dòng hào kiệt, Xếp bút nghiên theo việc đao cung."" (CPN)","""Chàng tuổi trẻ vốn dòng hào kiệt, Xếp bút nghiên theo việc đao cung."" (CPN)"
hao phí,danh từ,lượng sức lực bỏ ra trong một quá trình hoạt động sản xuất nào đó: hao phí lao động ít nhưng kết quả thu được lại cao,hao phí lao động ít nhưng kết quả thu được lại cao
hào quang,danh từ,"ánh sáng rực rỡ, chiếu toả ra xung quanh: ánh hào quang",ánh hào quang
hảo tâm,danh từ,lòng tốt: người có hảo tâm,người có hảo tâm
hát bội,danh từ,"(cũng hát bội) kịch hát dân tộc cổ truyền, mang tính chất tượng trưng và ước lệ, lời viết theo các thể văn vần cổ, thường chuyên về đề tài lịch sử: vở tuồng * hát tuồng * đi xem tuồng",vở tuồng * hát tuồng * đi xem tuồng
hát bội,danh từ,"hạng người cùng có một đặc điểm chung nào đó (hàm ý coi thường): tuồng ô hợp * ""Bởi vì cha mẹ không thương, Cố lòng ép uổng lấy tuồng vũ phu."" (ca dao)","tuồng ô hợp * ""Bởi vì cha mẹ không thương, Cố lòng ép uổng lấy tuồng vũ phu."""
hát bội,danh từ,(khẩu ngữ) vẻ bề ngoài: xem tuồng mọi việc đã ổn,xem tuồng mọi việc đã ổn
hạt kín,danh từ,"ngành thực vật bậc cao, gồm những cây có hạt nằm kín trong quả, có hoa, thân, rễ phát triển đa dạng; phân biệt với hạt trần: cây đậu, cây cam là những cây hạt kín","cây đậu, cây cam là những cây hạt kín"
hạt giống,danh từ,"hạt dùng để gây giống; còn dùng để ví người còn trẻ có rất nhiều triển vọng, hoặc đang được đào tạo, bồi dưỡng cho tương lai: cây vợt hạt giống * chọn các đội hạt giống để chia bảng thi đấu",cây vợt hạt giống * chọn các đội hạt giống để chia bảng thi đấu
hạt nhân,danh từ,"phần trung tâm của nguyên tử, nơi tập trung hầu hết khối lượng của nguyên tử đó, mang điện tích dương.",hạt nhân của phong trào * gia đình là hạt nhân của xã hội
hát nói,danh từ,"thể ca trù khi biểu diễn kết hợp cả ngâm, hát và nói.",đọc bài hát nói
hạt trần,danh từ,"ngành thực vật gồm những cây có hạt lộ trần ra ngoài, không nằm kín trong quả, sinh sản bằng hạt, chưa có hoa và quả; phân biệt với hạt kín: cây thông, cây tuế là những cây hạt trần","cây thông, cây tuế là những cây hạt trần"
hát tuồng,danh từ,"(cũng hát bội) kịch hát dân tộc cổ truyền, mang tính chất tượng trưng và ước lệ, lời viết theo các thể văn vần cổ, thường chuyên về đề tài lịch sử: vở tuồng * hát tuồng * đi xem tuồng",vở tuồng * hát tuồng * đi xem tuồng
hát tuồng,danh từ,"hạng người cùng có một đặc điểm chung nào đó (hàm ý coi thường): tuồng ô hợp * ""Bởi vì cha mẹ không thương, Cố lòng ép uổng lấy tuồng vũ phu."" (ca dao)","tuồng ô hợp * ""Bởi vì cha mẹ không thương, Cố lòng ép uổng lấy tuồng vũ phu."""
hát tuồng,danh từ,(khẩu ngữ) vẻ bề ngoài: xem tuồng mọi việc đã ổn,xem tuồng mọi việc đã ổn
hát văn,danh từ,"lối hát cổ truyền, có làn điệu phong phú, dùng để ca tụng thần thánh trong khi cúng bái, lên đồng: hát chầu văn * điệu chầu văn",hát chầu văn * điệu chầu văn
hằng nga,danh từ,"tiên nữ trên cung trăng, theo thần thoại; thường dùng trong văn chương để chỉ mặt trăng: ""Tỏ Hằng Nga bấy nước non, Vừng còn vành vạnh, tiết còn khăng khăng."" (TNNL)","""Tỏ Hằng Nga bấy nước non, Vừng còn vành vạnh, tiết còn khăng khăng."" (TNNL)"
hầm hào,danh từ,"hầm, hào, được đào, đắp để làm công sự chiến đấu và phòng tránh (nói khái quát): sửa sang lại hầm hào, công sự","sửa sang lại hầm hào, công sự"
hầm tàu,danh từ,"khoang trong thân tàu thuỷ, nằm dưới boong dưới, dùng để đặt máy tàu, xếp hàng hoá và các thức dự trữ, v.v.: chui xuống hầm tàu",chui xuống hầm tàu
hầu bao,danh từ,"túi người thời trước thường dùng luồn vào thắt lưng, để đựng tiền: cởi hầu bao lấy tiền",cởi hầu bao lấy tiền
hậu bối,danh từ,"người thuộc lớp sau, thế hệ sau, trong quan hệ với người lớp trước, gọi là tiền bối (hàm ý khiêm tốn): lớp hậu bối",lớp hậu bối
hậu bối,danh từ,nhọt bọc lớn mọc ở sống lưng: lên hậu bối,lên hậu bối
hậu cần,danh từ,"việc bảo đảm vật chất, kĩ thuật, y tế, quân trang, quân dụng cho lực lượng vũ trang: phụ trách hậu cần của đơn vị * giữ kho hậu cần",phụ trách hậu cần của đơn vị * giữ kho hậu cần
hậu cung,danh từ,"cung ở phía sau trong cung vua, là nơi ở của các phi tần.",pho tượng được đặt ở hậu cung
hậu duệ,danh từ,(trang trọng) con cháu đời sau của người đã mất: Nguyễn Thiện Thuật là hậu duệ của Nguyễn Trãi,Nguyễn Thiện Thuật là hậu duệ của Nguyễn Trãi
hậu đài,danh từ,(cũ) như hậu trường: diễn viên đứng phía sau hậu đài,diễn viên đứng phía sau hậu đài
hậu hoạ,danh từ,tai hoạ về sau: nhổ cỏ phải nhổ tận gốc để trừ hậu hoạ,nhổ cỏ phải nhổ tận gốc để trừ hậu hoạ
hầu phòng,danh từ,như bồi phòng: làm hầu phòng trong khách sạn,làm hầu phòng trong khách sạn
hậu sinh,danh từ,"người sinh sau, trong quan hệ với những người thuộc lớp trước: lớp hậu sinh",lớp hậu sinh
hậu quả,danh từ,"kết quả không hay, có ảnh hưởng về sau: khắc phục hậu quả của cơn bão * gây hậu quả nghiêm trọng",khắc phục hậu quả của cơn bão * gây hậu quả nghiêm trọng
hậu thế,danh từ,(văn chương) đời sau: tiếng thơm lưu truyền hậu thế,tiếng thơm lưu truyền hậu thế
hậu vận,danh từ,"số phận, vận mệnh về phần sau cuộc đời con người; phân biệt với tiền vận: hậu vận được an nhàn",hậu vận được an nhàn
hậu tuyến,danh từ,"tuyến sau, nơi ở phía sau mặt trận, không trực tiếp đánh nhau với địch; đối lập với tiền tuyến: đưa thương binh về hậu tuyến",đưa thương binh về hậu tuyến
hen suyễn,danh từ,hen (nói khái quát): lên cơn hen suyễn,lên cơn hen suyễn
heo may,danh từ,gió heo may (nói tắt): trời trở heo may,trời trở heo may
hiểm hoạ,danh từ,"tai hoạ lớn, gây nguy hại sâu sắc đối với đời sống của con người: hiểm hoạ chiến tranh",hiểm hoạ chiến tranh
hiến binh,danh từ,cảnh sát vũ trang trong quân đội của một số nước: đội hiến binh,đội hiến binh
hiện giờ,danh từ,(khẩu ngữ) thời gian hiện đang nói: hiện giờ mọi người đang bận,hiện giờ mọi người đang bận
hiện kim,danh từ,tiền đang lưu hành: thanh toán bằng hiện kim,thanh toán bằng hiện kim
hiện nay,danh từ,thời gian hiện tại: hiện nay ông ấy đã nghỉ hưu * tình hình hiện nay đã đổi khác,hiện nay ông ấy đã nghỉ hưu * tình hình hiện nay đã đổi khác
hiện tại,danh từ,thời gian đang diễn ra; đối lập với quá khứ và tương lai: bằng lòng với cuộc sống hiện tại * hiện tại anh ta vẫn làm việc ở xưởng in,bằng lòng với cuộc sống hiện tại * hiện tại anh ta vẫn làm việc ở xưởng in
hiện thân,danh từ,người hoặc động vật cụ thể mà thần linh qua đó hiện ra: con rùa là hiện thân của thần biển,con rùa là hiện thân của thần biển
hiện thân,danh từ,(văn chương) người được coi là biểu hiện cụ thể của một điều gì: hiện thân của lòng bác ái,hiện thân của lòng bác ái
bát đàn,danh từ,"bát nông lòng, làm bằng đất nung thô có tráng men, dùng ở thời trước: ""Có bát sứ tình phụ bát đàn, Nâng niu bát sứ vỡ tan có ngày."" (ca dao)","""Có bát sứ tình phụ bát đàn, Nâng niu bát sứ vỡ tan có ngày."" (ca dao)"
bát giác,danh từ,đa giác có tám cạnh: hình bát giác * lầu bát giác,hình bát giác * lầu bát giác
bát kết,danh từ,"(cũ, khẩu ngữ) giày bát kết (nói tắt): chân đi một đôi bát kết",chân đi một đôi bát kết
bát phẩm,danh từ,(cũ) phẩm trật thứ tám (trong thang cấp bậc quan lại): quan bát phẩm,quan bát phẩm
bát sách,danh từ,tên một con bài tổ tôm trên có ghi hai chữ Hán bát 八 và sách 索; thường dùng trong khẩu ngữ để ví người gàn dở (ý hài hước): gàn bát sách,gàn bát sách
bát tiên,danh từ,"tám vị tiên trong thần thoại Trung Quốc thời cổ, ngày trước thường được dùng làm đề tài để vẽ tranh dân gian, hình ảnh được vẽ, thêu, khắc để trang trí: khăn bát tiên * ""Buồng riêng, sửa chốn thanh nhàn, Đặt giường thất bảo, vây màn bát tiên."" (TKiều)","khăn bát tiên * ""Buồng riêng, sửa chốn thanh nhàn, Đặt giường thất bảo, vây màn bát tiên."" (TKiều)"
báu vật,danh từ,vật quý và có giá trị: truy tìm báu vật,truy tìm báu vật
bắc cực,danh từ,cực phía bắc của Trái Đất: khí hậu miền Bắc Cực * gấu Bắc Cực,khí hậu miền Bắc Cực * gấu Bắc Cực
bắc nam,danh từ,"phương bắc và phương nam; thường dùng (viết hoa) để nói về sự phân li xa cách giữa những người thân: Bắc Nam đôi ngả * ""Yêu nhau chẳng lấy được nhau, Bắc Nam cách biệt ngậm sầu đôi nơi."" (ca dao)","Bắc Nam đôi ngả * ""Yêu nhau chẳng lấy được nhau, Bắc Nam cách biệt ngậm sầu đôi nơi."" (ca dao)"
bằng cấp,danh từ,"văn bằng cấp cho người học hành đã thi đỗ (nói khái quát): bệnh hám danh, sính bằng cấp","bệnh hám danh, sính bằng cấp"
băng đạn,danh từ,bộ phận bằng vải hoặc bằng kim loại dùng để kẹp đạn và tiếp đạn vào súng khi bắn; cũng dùng để chỉ số lượng đạn lắp đầy một băng đạn: thay băng đạn * bắn hết một băng đạn,thay băng đạn * bắn hết một băng đạn
băng giá,danh từ,nước đông lại vì trời quá lạnh: tan băng giá * miền băng giá,tan băng giá * miền băng giá
băng đảng,danh từ,"tổ chức băng nhóm lớn, thường có vũ trang: băng đảng buôn lậu ma tuý",băng đảng buôn lậu ma tuý
băng dính,danh từ,"băng vải, nhựa,... được phết lớp chất dính thường ở một mặt, dùng để băng hoặc dán: cuộn băng dính * băng dính hai mặt * băng dính y tế (băng dính dùng trong y tế)",cuộn băng dính * băng dính hai mặt * băng dính y tế (băng dính dùng trong y tế)
băng đăng,danh từ,"nghệ thuật điêu khắc trên băng, khi trưng bày có kết hợp với thắp đèn, tạo nên vẻ đẹp lung linh, kì ảo: triển lãm băng đăng * lễ hội băng đăng",triển lãm băng đăng * lễ hội băng đăng
băng hình,danh từ,(khẩu ngữ) như băng video: cửa hàng cho thuê băng hình,cửa hàng cho thuê băng hình
bằng hữu,danh từ,(cũ) bạn bè: tình bằng hữu,tình bằng hữu
băng keo,danh từ,"băng vải, nhựa,... được phết lớp chất dính thường ở một mặt, dùng để băng hoặc dán: cuộn băng dính * băng dính hai mặt * băng dính y tế (băng dính dùng trong y tế)",cuộn băng dính * băng dính hai mặt * băng dính y tế (băng dính dùng trong y tế)
băng nhóm,danh từ,"nhóm trộm cướp, buôn lậu có kẻ cầm đầu (nói khái quát): băng nhóm tội phạm * bắt giữ một băng nhóm buôn lậu",băng nhóm tội phạm * bắt giữ một băng nhóm buôn lậu
băng nhân,danh từ,"(cũ, văn chương) người làm mối trong việc hôn nhân: ""Sự lòng ngỏ với băng nhân, Tin sương đồn đại xa gần xôn xao."" (TKiều)","""Sự lòng ngỏ với băng nhân, Tin sương đồn đại xa gần xôn xao."" (TKiều)"
băng tải,danh từ,"băng hoặc dải chuyển động liên tục trên trục lăn, thường dùng để chuyển dịch hàng hoá, hành lí: hệ thống băng chuyền ở sân bay",hệ thống băng chuyền ở sân bay
bằng trắc,danh từ,vần bằng và vần trắc: luật bằng trắc,luật bằng trắc
bắp chân,danh từ,bắp thịt ở phía sau ống chân: nước ngập đến bắp chân * quần xắn ngang bắp chân,nước ngập đến bắp chân * quần xắn ngang bắp chân
bắp chuối,danh từ,"phần hoa chuối hình bắp còn lại sau khi đã sinh buồng chuối, có thể dùng làm rau ăn: nộm bắp chuối * thái bắp chuối ăn ghém",nộm bắp chuối * thái bắp chuối ăn ghém
bắp chuối,danh từ,"trạng thái bị sưng tấy ở các cơ chân tay, trông giống hình cái bắp chuối: sưng bắp chuối",sưng bắp chuối
bắp chuối,danh từ,(phương ngữ) bắp chân: quần xắn lên tận bắp chuối,quần xắn lên tận bắp chuối
bắp tay,danh từ,bắp thịt ở cánh tay: bắp tay rắn chắc,bắp tay rắn chắc
bắp đùi,danh từ,"phần bắp thịt ở đùi, phía bên ngoài, từ hông đến đầu gối: đôi bắp đùi chắc nịch",đôi bắp đùi chắc nịch
bắp thịt,danh từ,"cơ hình bắp, giữa phình to, hai đầu thuôn nhỏ: bắp thịt nổi cuồn cuộn * tiêm vào bắp thịt",bắp thịt nổi cuồn cuộn * tiêm vào bắp thịt
hiện tình,danh từ,tình hình thực tại: hiện tình thế giặc đang mạnh * tìm hiểu rõ hiện tình rồi mới quyết định,hiện tình thế giặc đang mạnh * tìm hiểu rõ hiện tình rồi mới quyết định
hiện thời,danh từ,như hiện nay: hoàn cảnh hiện thời * công việc hiện thời,hoàn cảnh hiện thời * công việc hiện thời
hiện thời,danh từ,(hiếm) thời nay: gặp mặt những nhà thơ nổi tiếng hiện thời,gặp mặt những nhà thơ nổi tiếng hiện thời
hiện vật,danh từ,"vật có thực, phân biệt với tiền bạc tương ứng: trả lương bằng hiện vật",trả lương bằng hiện vật
hiện vật,danh từ,"vật có thực, thường dùng để làm bằng cớ, để chứng minh: không được sờ vào hiện vật * tìm thấy nhiều hiện vật quý",không được sờ vào hiện vật * tìm thấy nhiều hiện vật quý
hiệp định,danh từ,"điều ước loại thông dụng nhất do hai hay nhiều nước kí kết để giải quyết những vấn đề chính trị, kinh tế, quân sự, văn hoá, v.v., tầm quan trọng dưới hiệp ước: hiệp định Genever * hiệp định Paris năm 1973",hiệp định Genever * hiệp định Paris năm 1973
hiệp hội,danh từ,"tổ chức quần chúng gồm nhiều tổ chức nhỏ hơn, có tính chất như một hội: hiệp hội chè Việt Nam * chủ tịch hiệp hội",hiệp hội chè Việt Nam * chủ tịch hiệp hội
hiểu biết,danh từ,điều hiểu biết: dựa vào hiểu biết của mình để đánh giá * vốn hiểu biết còn hạn chế,dựa vào hiểu biết của mình để đánh giá * vốn hiểu biết còn hạn chế
hiệp ước,danh từ,"điều ước loại quan trọng nhất do hai hay nhiều nước kí kết, trong đó ghi rõ những điều cam kết của các bên về những vấn đề chính trị, quân sự, kinh tế, văn hoá: kí hiệp ước * hiệp ước thương mại quốc tế",kí hiệp ước * hiệp ước thương mại quốc tế
hiệu dụng,danh từ,hiệu quả và tác dụng (nói khái quát): phương pháp mới đã bắt đầu có hiệu dụng * tính hiệu dụng của sáng chế,phương pháp mới đã bắt đầu có hiệu dụng * tính hiệu dụng của sáng chế
hiệu ích,danh từ,hiệu quả và lợi ích (nói khái quát): hiệu ích kinh tế * biến tiềm năng thành hiệu ích,hiệu ích kinh tế * biến tiềm năng thành hiệu ích
hiệu lệnh,danh từ,lệnh được phát ra bằng một hình thức cụ thể nào đó: thổi một hồi còi làm hiệu lệnh xuất phát,thổi một hồi còi làm hiệu lệnh xuất phát
hiệu quả,danh từ,kết quả thực của việc làm mang lại: nâng cao hiệu quả lao động * làm việc không có hiệu quả,nâng cao hiệu quả lao động * làm việc không có hiệu quả
hiệu lực,danh từ,"tác dụng thực tế, đúng như yêu cầu: lời nói của ông ta rất có hiệu lực",lời nói của ông ta rất có hiệu lực
hiệu lực,danh từ,thời hiệu thi hành: hợp đồng có hiệu lực từ ngày kí * quyết định đã hết hiệu lực,hợp đồng có hiệu lực từ ngày kí * quyết định đã hết hiệu lực
hiệu năng,danh từ,khả năng có thể mang lại kết quả khi dùng đến: hiệu năng của máy tính,hiệu năng của máy tính
hiệu suất,danh từ,kết quả lao động biểu hiện bằng khối lượng công việc làm được trong một thời gian nhất định: nâng cao hiệu suất làm việc,nâng cao hiệu suất làm việc
hiệu suất,danh từ,"đại lượng đặc trưng cho mức sử dụng năng lượng hữu ích của một máy hay một hệ thống nào đó, bằng tỉ số năng lượng hữu ích với tổng năng lượng mà máy hay hệ thống đó nhận được: hiệu suất của nhà máy nhiệt điện này là 50%",hiệu suất của nhà máy nhiệt điện này là 50%
hình ảnh,danh từ,"hình người, vật, cảnh tượng thu được bằng khí cụ quang học (như máy ảnh), hoặc để lại ấn tượng nhất định và tái hiện được trong trí: hình ảnh quê hương * hình ảnh mẹ lại hiện lên trong tâm trí",hình ảnh quê hương * hình ảnh mẹ lại hiện lên trong tâm trí
hình ảnh,danh từ,khả năng gợi tả sinh động trong cách diễn đạt: lối diễn đạt có hình ảnh * dùng nhiều từ ngữ giàu hình ảnh,lối diễn đạt có hình ảnh * dùng nhiều từ ngữ giàu hình ảnh
hình bóng,danh từ,hình ảnh không rõ nét: hình bóng tuổi thơ,hình bóng tuổi thơ
hình dáng,danh từ,hình của một vật làm thành vẻ riêng bên ngoài của nó: hình dáng tiều tuỵ * hình dáng ngôi nhà,hình dáng tiều tuỵ * hình dáng ngôi nhà
hình dạng,danh từ,"hình của một vật, phân biệt nó với những vật khác loại: thay đổi hình dạng * hình dạng kì dị",thay đổi hình dạng * hình dạng kì dị
hình dong,danh từ,"(cũ, cũng hình dong) hình thức bên ngoài của con người: ""Một chàng vừa trạc thanh xuân, Hình dung chải chuốt, áo khăn dịu dàng."" (TKiều)","""Một chàng vừa trạc thanh xuân, Hình dung chải chuốt, áo khăn dịu dàng."""
hình dung,danh từ,"(cũ, cũng hình dong) hình thức bên ngoài của con người: ""Một chàng vừa trạc thanh xuân, Hình dung chải chuốt, áo khăn dịu dàng."" (TKiều)","""Một chàng vừa trạc thanh xuân, Hình dung chải chuốt, áo khăn dịu dàng."""
hình nhân,danh từ,"hình người bằng giấy, dùng để cúng rồi đốt đi, theo mê tín: đốt hình nhân * hình nhân thế mạng",đốt hình nhân * hình nhân thế mạng
hình mẫu,danh từ,"cái dùng làm mẫu để phỏng theo, noi theo: đưa ra hình mẫu loại máy tính bỏ túi * làm theo đúng hình mẫu",đưa ra hình mẫu loại máy tính bỏ túi * làm theo đúng hình mẫu
hình nộm,danh từ,"hình người giả, thường được làm vật để tượng trưng, thay thế cho một kẻ xấu: đốt hình nộm",đốt hình nộm
hình phạt,danh từ,hình thức trừng trị tương xứng dành cho kẻ phạm tội: khung hình phạt,khung hình phạt
hình thái,danh từ,"toàn thể nói chung những gì thuộc về cái bên ngoài, có thể quan sát được của sự vật: hình thái địa lí * hình thái kinh tế - xã hội",hình thái địa lí * hình thái kinh tế - xã hội
hình thái,danh từ,hình thức biểu hiện ra: văn nghệ là một hình thái ý thức xã hội,văn nghệ là một hình thái ý thức xã hội
hình thể,danh từ,toàn thể nói chung những đường nét bên ngoài: tập luyện để có hình thể đẹp,tập luyện để có hình thể đẹp
hình thế,danh từ,hình dáng mặt đất: hình thế non sông * chọn chỗ có hình thế đẹp để xây nhà,hình thế non sông * chọn chỗ có hình thế đẹp để xây nhà
hình thế,danh từ,tình hình chính trị hoặc quân sự có những nét đặc biệt nào đó: hình thế chiến tranh,hình thế chiến tranh
hình thù,danh từ,hình dạng cụ thể và riêng biệt: hình thù kì dị * bức tượng trông chẳng ra hình thù gì,hình thù kì dị * bức tượng trông chẳng ra hình thù gì
hình thức,danh từ,"toàn thể nói chung những gì làm thành bề ngoài của sự vật, chứa đựng hoặc biểu hiện nội dung: coi trọng hình thức * hình thức đẹp làm tôn nội dung",coi trọng hình thức * hình thức đẹp làm tôn nội dung
hình thức,danh từ,"cách thể hiện, cách tiến hành một hoạt động nhằm một mục đích cụ thể: hình thức quảng cáo hấp dẫn * các hình thức kỉ luật",hình thức quảng cáo hấp dẫn * các hình thức kỉ luật
hình vóc,danh từ,"hình dáng bên ngoài của một con người, về mặt to nhỏ, cao thấp: hình vóc nhỏ nhắn",hình vóc nhỏ nhắn
hip hop,danh từ,"thể loại nhạc hiện đại mà lời thường được thể hiện bằng cách nói và có nhịp đều đều, được khởi nguồn từ thanh niên Mĩ gốc Phi từ những năm 1980: nhạc hip hop",nhạc hip hop
hip hop,danh từ,"văn hoá, sinh hoạt của thanh niên Mĩ gốc Phi và những người yêu thích nhạc hip hop, thể hiện qua hội hoạ, khiêu vũ, trang phục, v.v.: ăn mặc kiểu hip hop * dân chơi hip hop",ăn mặc kiểu hip hop * dân chơi hip hop
hoà bình,danh từ,"tình trạng yên ổn, không có chiến tranh: đấu tranh vì hoà bình và độc lập dân tộc",đấu tranh vì hoà bình và độc lập dân tộc
hoá công,danh từ,"(cũ, văn chương) ông trời, tạo hoá: ""Phũ phàng chi bấy Hoá công!, Ngày xanh mòn mỏi, má hồng phôi pha."" (TKiều)","""Phũ phàng chi bấy Hoá công!, Ngày xanh mòn mỏi, má hồng phôi pha."" (TKiều)"
hoa chúc,danh từ,"(cũ, văn chương) đuốc hoa: đợi ngày hoa chúc",đợi ngày hoa chúc
hoá chất,danh từ,hợp chất có thành phần phân tử xác định: nhà máy sản xuất hoá chất,nhà máy sản xuất hoá chất
hoá dầu,danh từ,ngành hoá học chuyên nghiên cứu và sản xuất chế biến những nguyên liệu lấy từ sản phẩm khai thác dầu mỏ: công nghiệp hoá dầu * đầu tư và phát triển ngành hoá dầu,công nghiệp hoá dầu * đầu tư và phát triển ngành hoá dầu
hoa đăng,danh từ,đèn thắp sáng và đẹp như hoa trong đêm: đêm hội hoa đăng,đêm hội hoa đăng
hoà đồng,danh từ,"Tên của một trang Blog, trên Yahoo 360 plus: http://vn.myblog.yahoo.com/Yen-Lac",http://vn.myblog.yahoo.com/Yen-Lac
hoạ gia,danh từ,"(trang trọng) hoạ sĩ lớn, có tên tuổi (thường dùng nói về người thời trước): các hoạ gia đời Lý",các hoạ gia đời Lý
hoá đơn,danh từ,"chứng từ ghi tên người mua, tên hàng cùng với giá tiền đã bán để làm bằng: thanh toán theo hoá đơn * hoá đơn tiền điện",thanh toán theo hoá đơn * hoá đơn tiền điện
hoa hậu,danh từ,"danh hiệu dành cho người con gái chiếm giải nhất trong một cuộc thi người đẹp có quy mô lớn (một nước, một khu vực, hoặc toàn thế giới): hoa hậu thế giới * đoạt danh hiệu hoa hậu toàn quốc",hoa hậu thế giới * đoạt danh hiệu hoa hậu toàn quốc
hoa hiên,danh từ,"cây thân cỏ cùng họ với hành tỏi, hoa to hình phễu màu vàng sẫm, dùng để ăn và làm thuốc.",dải lụa màu hoa hiên
hoả hoạn,danh từ,nạn cháy: xảy ra hoả hoạn * đề phòng hoả hoạn,xảy ra hoả hoạn * đề phòng hoả hoạn
hoa hoét,danh từ,"(khẩu ngữ) hoa (nói khái quát; hàm ý chê, mỉa mai): hoa hoét cắm đầy nhà",hoa hoét cắm đầy nhà
hoa hồng,danh từ,"tiền tính theo tỉ lệ nhất định, trả cho người làm trung gian, môi giới trong việc giao dịch, mua bán: bán hàng ăn hoa hồng",bán hàng ăn hoa hồng
hoa khôi,danh từ,ví người con gái chiếm giải nhất trong một cuộc thi người đẹp có quy mô nhỏ: đoạt danh hiệu hoa khôi trong cuộc thi người đẹp phía Bắc,đoạt danh hiệu hoa khôi trong cuộc thi người đẹp phía Bắc
hoa khôi,danh từ,"ví người phụ nữ được coi là đẹp nhất trong một vùng, một lĩnh vực: hoa khôi của lớp * hoa khôi làng báo",hoa khôi của lớp * hoa khôi làng báo
hoà khí,danh từ,"không khí hoà thuận, không có mâu thuẫn: giữ hoà khí trong gia đình",giữ hoà khí trong gia đình
hoà khí,danh từ,sự hỗn hợp không khí với chất đốt lỏng làm thành một hỗn hợp cháy: bộ chế hoà khí,bộ chế hoà khí
hoa lan,danh từ,"cây cảnh, có nhiều loại, thân cỏ, lá thường dài và hẹp, hoa đẹp thường có hương thơm: nhành lan tím",nhành lan tím
hoả lực,danh từ,"sức mạnh gây sát thương và phá hoại của bom đạn, chất nổ, chất cháy dùng trong chiến đấu (nói khái quát): hoả lực phòng không * dùng hoả lực để tiêu diệt địch",hoả lực phòng không * dùng hoả lực để tiêu diệt địch
hoả mai,danh từ,"súng thời xưa, bắn bằng cách châm ngòi lửa: súng hoả mai",súng hoả mai
hoa lợi,danh từ,toàn thể nói chung những gì thu hoạch được trên đất trồng trọt: thu hoạch hoa lợi,thu hoạch hoa lợi
hoa màu,danh từ,"cây trồng trên cạn (trừ lúa ra, như ngô, khoai, đậu, vừng, v.v.), dùng làm lương thực và thực phẩm, hoặc làm thức ăn chăn nuôi (nói khái quát): trồng hoa màu * tăng diện tích hoa màu",trồng hoa màu * tăng diện tích hoa màu
hoá năng,danh từ,năng lượng sinh ra từ phản ứng hoá học: biến đổi hoá năng thành điện năng,biến đổi hoá năng thành điện năng
hoá nhi,danh từ,"(cũ, văn chương) tạo hoá (hàm ý trách móc, coi như đứa trẻ oái oăm): ""Hoá nhi thăm thẳm nghìn trùng, Nhắc cân phúc tội, rút vòng vần xoay."" (NĐM)","""Hoá nhi thăm thẳm nghìn trùng, Nhắc cân phúc tội, rút vòng vần xoay."" (NĐM)"
hoa niên,danh từ,"(cũ) tuổi trẻ, được coi là tuổi tươi đẹp nhất trong đời người: tuổi hoa niên",tuổi hoa niên
hoá phẩm,danh từ,sản phẩm hoá học: chế hoá phẩm,chế hoá phẩm
hoa quả,danh từ,quả cây dùng để ăn (nói khái quát): lẵng hoa quả * cửa hàng kinh doanh hoa quả,lẵng hoa quả * cửa hàng kinh doanh hoa quả
hoa tai,danh từ,"đồ nữ trang đeo ở tai, thường có hình hoa: đôi hoa tai bằng vàng",đôi hoa tai bằng vàng
